Iteration,"target width, \m","energy, J","pressure, bar","grating pair displacement, m"
0,3.269757429232782e-08,0.0006838308065836037,0.5003431244520347,0.00022032449344215805
1,3.269760909755919e-08,0.0005232656016845757,0.7770157843063934,-0.00035324410918288697
2,3.269758689305497e-08,0.00036076429592873927,1.6903024226920098,-0.00015443927295695226
3,3.2697581537475844e-08,0.0008543434276046997,2.5556585011902784,-8.080548559670519e-05
4,3.2697570430089973e-08,0.0003862331496241244,0.5821627795937785,0.0003781174363909454
5,3.26975598552786e-08,0.0010386545142497632,2.176069485337255,-8.269519763287305e-05
6,3.2697585509705176e-08,0.0002965417140333273,2.90223370602661,-0.0003018985109151212
7,3.269759180540722e-08,0.0014555662060071566,2.5769678470079422,-0.00018657582184075715
8,3.2697575174518645e-08,0.0013269448132144537,0.7551326341093337,0.0003946066635038473
9,3.269761653836902e-08,0.0001546766965260353,3.1344275102882393,-0.0003301695804354311
10,3.269759906775221e-08,0.00023768556736627013,3.373668590451506,-7.889237499494786e-05
11,3.269759355734894e-08,0.000846431398962224,1.4465468930181888,0.00019187711395047332
12,3.2697595338918025e-08,0.0010611012987542172,0.5548648320325754,0.0003346256718973729
13,3.269760989699359e-08,0.0011502020409229546,2.744496963139518,0.0004888610889064947
14,3.2697603074671376e-08,0.0004926215888901673,0.8096780197329261,0.0002892793284514885
15,3.2697579921868e-08,0.0007270509366462673,1.3808424451210386,0.0004085955030930956
16,3.26976050315341e-08,0.0005028854740208882,0.5581008736108912,-0.0003699714278817223
17,3.269756290375944e-08,0.0010503697461158473,1.2966399781166786,-0.000288371883999941
18,3.26975822978091e-08,0.0007882024229924736,2.222352816476039,-0.00044663745488291963
19,3.269758758704284e-08,0.0003054200048681342,2.5992750800627933,8.930553690328423e-05
20,3.269758738227553e-08,0.0002432682003589562,2.5832004731832354,-8.59440121804317e-05
21,3.269757745679109e-08,0.0006798509773376638,2.1076892177465347,-0.00045004654105391283
22,3.269756114073587e-08,0.0010293125033077042,3.33378426797244,1.4889112058308514e-05
23,3.269758213586786e-08,0.0009211770567027902,0.9124241124387126,0.0004034019152878835
24,3.2697562088234746e-08,0.000294986886151062,1.6930305109566008,0.0003073912887095238
25,3.269760795675143e-08,0.0003314958759637059,1.5432975792365196,0.0004275085803960339
26,3.269754737001848e-08,0.0011511369443906179,3.1499182736174296,0.00022599798535045143
27,3.269759291325909e-08,0.0009731410898778525,1.5466950259335275,0.00025094243402733717
28,3.269760123444074e-08,0.0004778990484710365,1.7842735696138847,0.0003958862181960668
29,3.2697552575328755e-08,0.0014507760660077398,2.3650871606273656,0.0001634414978184481
30,3.269758133874887e-08,0.0002606443621347253,1.8497364004398216,0.00044948925870707125
31,3.269758093501985e-08,0.0009097454601419845,1.211080940729083,-9.186319723871882e-05
32,3.269759319046756e-08,0.0013647313287871554,0.5086109810934769,7.367948667228591e-05
33,3.2697564014508946e-08,0.0009640028790690135,2.081174306772828,-0.00017335509822790388
34,3.2697573572232654e-08,0.0013403189390350843,3.225605452759398,-0.0001427302399975002
35,3.269757716656296e-08,0.0009727041621085239,3.288311701231284,-0.0004841787571534437
36,3.2697569143058125e-08,0.0010672556845236936,1.0170215250359855,0.0004973228504514804
37,3.2697554316025626e-08,0.00029199004948042887,2.5904544844697006,0.00043259546303716354
38,3.269759301557479e-08,0.0001924002418108875,2.761628565383739,0.00025546305260246637
39,3.2697581361082186e-08,0.0013922343497650767,0.8728128859164941,0.00021152475862847172
40,3.2697600842743285e-08,0.00012783218737571383,0.5849194640623838,-0.00047378901312228073
41,3.269759609881244e-08,0.00044469549464426424,2.1164931930249584,0.00036002794868288807
42,3.2697589768999816e-08,0.0008739507701600723,0.8725199453597334,0.0003420308923596057
43,3.2697616673671954e-08,0.0004908571506155953,3.4087872449590235,8.575927145828784e-05
44,3.269758205056152e-08,0.0008854423069579939,2.901898018041849,-0.000481352710627057
45,3.2697568697466325e-08,0.0004261639833774286,1.6635819321925154,0.0003071051956187791
46,3.2697603757096976e-08,0.0013089585963832002,2.1687207019712567,0.00024712164273718465
47,3.269756477119244e-08,0.00029103731592495906,0.864030367222212,-0.00044008231048778837
48,3.2697562973334915e-08,0.00016237262996266643,1.177128015823564,-0.0003925058708939071
49,3.269760749340345e-08,0.0010981845725357474,0.5376679404773476,5.9716982054142456e-05
50,3.269758990786655e-08,0.0002007639915652815,2.2043013857598264,0.000467276330000272
51,3.269758315827784e-08,0.00038461052852538667,2.7314775622252787,-0.00024767425542967657
52,3.2697565265934904e-08,0.0003736012735530463,3.410059967264937,8.135892727325776e-05
53,3.2697581109288884e-08,0.0012855603220860493,1.98130914280619,-0.00026015224085241384
54,3.26975932859338e-08,0.0009679380057339317,0.9703741839382528,0.0003289808995501787
55,3.269756621020348e-08,0.00012600668304837333,1.9590353328110954,-0.0004299778562807777
56,3.269756634025681e-08,0.0009488612463146625,1.4520872279664823,6.885143708648136e-05
57,3.2697605519068284e-08,0.0014840626161774285,1.6404235178706512,7.974521924579696e-05
58,3.269760916541757e-08,0.0008713275067650556,2.507698680359554,0.00024533443090650204
59,3.269758334413351e-08,0.00047088738072793314,1.6102525937423189,-0.00043366516557155843
60,3.269759639101063e-08,0.0009816045098301903,2.7582666612164415,-0.0002898259900851604
61,3.2697569476038344e-08,0.00019315107389576092,2.9142636912300364,-0.00023968490142145906
62,3.2697556042313203e-08,0.0003708079956726588,2.074010927371201,0.00013946088087994017
63,3.269754743475799e-08,0.001394731158559091,0.6978832720520713,-0.00023670322951288905
64,3.2697598497054786e-08,0.0011290923486041373,3.223447557510572,0.00027217802954324674
65,3.26975686843665e-08,0.0014047608968755722,1.2030862583642614,-0.00048604842702440297
66,3.2697578413714453e-08,0.0009634896998023207,3.350528357741239,0.00044901632068761643
67,3.2697571890470595e-08,0.000879314463473219,2.4246986268390125,0.00041560634976627454
68,3.2697572599565894e-08,0.0006460107997977448,2.3129314487599197,-1.4009332903090234e-05
69,3.2697606649710024e-08,0.0008693670901119877,3.2562003069008183,0.0004261814267064537
70,3.269759254320928e-08,0.0006528258580929769,1.021867000041393,0.00046326252844071185
71,3.269755384634623e-08,0.00027686132721549227,2.01698649703069,-0.0003649208419532687
72,3.2697556563774274e-08,0.00013013472738387718,2.981346413512197,0.00044797021121768105
73,3.2697587042557215e-08,0.00012102657303897134,1.496190723100511,-0.00032380374442494476
74,3.269759611093641e-08,0.00028339558273528367,1.5342099580498805,0.0003094906921265821
75,3.2697585504998875e-08,0.0014161504752667141,3.1364959532355323,8.201417994708007e-05
76,3.269759857192941e-08,0.0012826282235491107,1.879640797450421,0.0004053923187086493
77,3.269760157087932e-08,0.0008648855424285226,1.3571565552024427,0.00029860359115203936
78,3.269758071978376e-08,0.0007863549316678988,0.5465998266525072,9.911030764587841e-05
79,3.269758173047126e-08,0.0009308739714752921,2.9220815866545244,-6.632365101054172e-05
80,3.2697615475301883e-08,0.0005413427243335222,2.2335716458536066,0.0003928887085251514
81,3.2697590942048214e-08,0.00035761428227845107,2.336093531134802,0.00028792923382550434
82,3.269755477986228e-08,0.00017547298090325416,2.537206509696289,-7.980631999886776e-05
83,3.2697612628992904e-08,0.0013860424891685363,3.4302774470931787,-0.0004995979751086425
84,3.2697584731232366e-08,0.0006272124406440843,2.3141483029221592,0.0004737835383583225
85,3.269759990733862e-08,0.00126038413117297,2.3842285949220514,7.471150470810233e-05
86,3.269757872026022e-08,0.0004998067943739715,2.7500652911079797,8.68333406560829e-05
87,3.269759957329023e-08,0.0013016393710006593,2.594171745341909,0.00025508218846768016
88,3.2697592031013154e-08,0.0013102712020764398,2.5123663723627616,-0.00017731900316325357
89,3.269761329775646e-08,0.0007312235109786889,1.7324340497665567,-0.00011789724796848277
90,3.269758390996431e-08,0.0006620714168573569,2.3657581037609043,-0.0001826160540417231
91,3.2697575365976215e-08,0.0007023461791497702,2.533402674302933,0.00047380207792725227
92,3.269757962705711e-08,0.0003779978437979552,1.5300387193232692,-7.329899065196721e-05
93,3.2697552204623806e-08,0.0012166943255419933,3.211525867479116,0.0003799982885634318
94,3.2697575223348076e-08,0.0010278077373253672,1.257100104513769,-0.00022979173797024223
95,3.269758295239261e-08,0.0012968571197763633,2.9064832520137944,2.771464630874662e-05
96,3.269760113021043e-08,0.0009014839240682489,2.0570348823921676,0.00023314252528751117
97,3.2697590987499214e-08,0.0011792374747026432,1.8971296357759426,6.88579907047155e-05
98,3.269759024787513e-08,0.0005797644711345945,1.6337725379842996,-0.0004317906515832959
99,3.2697577140808e-08,0.0002114765087775533,1.0448385539922913,0.00048281711373044495
100,3.2697565209261623e-08,0.0006261765330700667,2.823340706285862,0.0002898785350260257
101,3.2697555005264654e-08,0.0003076064482304886,2.599231167648392,9.683781528828123e-05
102,3.269758999792241e-08,0.000934182223087713,2.740186868051262,-0.0002389750916993316
103,3.269759631580866e-08,0.0003072832830999499,2.5993124451471976,5.5571758522499504e-05
104,3.269760005571674e-08,0.0009156515270047189,0.9703013835130633,0.0003730119309533045
105,3.26975903768784e-08,0.0005003419506073465,0.8096445027825117,0.00024895110417512477
106,3.269760049519981e-08,0.0014376238057576735,1.912161919787547,0.00016407141584204765
107,3.269758472949066e-08,0.0010078228986494897,0.5377444846080603,8.211589576982432e-05
108,3.269758429560306e-08,0.0009183090085830735,0.8725523504907343,0.00035433529971753074
109,3.269758573173511e-08,0.0006648605488611576,1.0219665109997103,0.000491348619034046
110,3.269759939830485e-08,0.00126567252053652,1.8796185039384352,0.0003525476427455762
111,3.26975741389283e-08,0.0006926553178860587,1.022027572754071,0.0004142273305181068
112,3.269759853146265e-08,0.000483600654757793,0.7006116369809451,0.0002643484038257044
113,3.269757037310788e-08,0.0005337500489063432,1.6336955656458991,-0.0003459847736827813
114,3.269758481415467e-08,0.0013272063950897591,2.5123213028961238,-9.814104200922135e-05
115,3.2697559426640484e-08,0.0011311537506511478,0.5548337451151831,0.00035615402941814025
116,3.269757046070565e-08,0.00023426541262533597,2.7616635346069613,0.00032608238642557285
117,3.269758321865067e-08,0.001270959289571114,1.8970904412377934,0.000146110577783498
118,3.2697598744851925e-08,0.0007495462807977646,2.2019999150808123,-0.00036415169238879187
119,3.2697575531536765e-08,0.00045496388665501494,0.5580729249818841,-0.0003611154761615162
120,3.269757138992255e-08,0.0002574713959301643,3.3736565527972737,8.38850634497497e-06
121,3.269760916872186e-08,0.0008551134942549244,2.057031676355781,0.0002095055010270582
122,3.269757380970329e-08,0.0001478294256814849,2.761671989548673,0.0001762572802738204
123,3.2697589073282634e-08,0.0010672674746040735,2.7444529845083707,0.00044950396316759025
124,3.269759401558936e-08,0.0008704679725854729,0.9704111342419752,0.00026308349316278427
125,3.2697553322334324e-08,0.0012493346822878041,2.1687154357842946,0.0002493996381061236
126,3.269762349126651e-08,0.0009274305126208409,1.446462414405596,0.00022073052025741347
127,3.2697592635951796e-08,0.00015101163388161606,3.1344023743788787,-0.0002574203589318166
128,3.269758464412874e-08,0.00117238936463795,1.8971237955605842,0.00017908896299282707
129,3.269758471132014e-08,0.0013222548315561054,2.5940958848890743,0.00033787303198998557
130,3.269759842073492e-08,0.0010226720262507373,0.970470492700903,0.0002182638997409481
131,3.269759553161072e-08,0.0010065792932328656,0.5548367944370615,0.00031232789454512314
132,3.2697563421761695e-08,0.00018617030301092754,2.583152859058015,-9.415713176870135e-05
133,3.2697584591667687e-08,0.00077398147907308,3.256184739510522,0.000457182128883836
134,3.269758872968565e-08,0.0004921515061965117,0.7769817210421308,-0.0003959600979596047
135,3.269757200759701e-08,0.0014294461082016733,2.5941481442954704,0.0004811801137771846
136,3.2697583042306426e-08,0.0010445120624439001,0.9701740915453745,0.000379784218117408
137,3.269756792515083e-08,0.0007631148893732918,2.5077453066212594,0.0001585627360066391
138,3.269760058676882e-08,0.00015793519249606076,1.4961359417497613,-0.0002447404466657401
139,3.269757965767895e-08,0.0008216784304928572,2.056952476065955,0.0002706529155312087
140,3.2697604641244875e-08,0.0003868637613290694,1.690373048973382,-0.00017150504708665724
141,3.2697585713027256e-08,0.0008687811295823336,1.7324466780943886,-0.0002910437713325516
142,3.26975742904873e-08,0.0011634862893434243,3.223323926497495,0.00036440440904267324
143,3.2697597502302515e-08,0.0010415754089189424,0.5376709748473725,9.59838559057149e-05
144,3.2697602960972886e-08,0.00032952766215095167,2.5993395933459267,0.0001579910437834658
145,3.269758829948533e-08,0.0008270199127442904,2.2019486975088016,-0.0003449870317960979
146,3.2697575645290934e-08,0.00142592366182889,2.1688093665546933,0.00016714426584184434
147,3.2697579977411006e-08,0.0004850857322741783,1.6904298492906134,-0.00015586713926045572
148,3.269758056055389e-08,0.0001908782424723627,2.204247754344985,0.00041022767662760755
149,3.269756954469355e-08,0.0008415019109987875,1.7323578375177084,-0.0001344013336912011
150,3.269758080730738e-08,0.000887809039962882,1.5466876994903611,0.00017706396386499388
151,3.269757888913123e-08,0.0003251365753269805,1.5432416398373239,0.00036522065319085815
152,3.269758728660546e-08,0.001480913335539196,1.6404103835782509,1.0217483300506793e-05
153,3.269757862520775e-08,0.00036927001511722214,0.7770442077351264,-0.0003850273147571594
154,3.2697575520141585e-08,0.0004847301412918181,1.7841903397220737,0.0004009663296807383
155,3.2697579269563465e-08,0.0009693636390089341,1.5466412987750506,0.00026325204707760587
156,3.269760954244017e-08,0.000475174922692223,2.2335293433411776,0.0004833408527391426
157,3.2697579181817496e-08,0.0013506194060726577,0.5085046306925448,6.252874291082548e-05
158,3.269755479755724e-08,0.0012439842069472652,2.594155207871796,0.000418566248054002
159,3.269758053965964e-08,0.0002940988043870973,2.3361555445206506,0.0001982272843802582
160,3.269757985536215e-08,0.0009273013658373926,1.732431522015199,-0.00034699879400602196
161,3.2697568992258785e-08,0.0006958655655732594,2.233642781137493,0.00047113592025544847
162,3.269759717612881e-08,0.0004774687883228659,1.7842649550107779,0.000320598588909747
163,3.269757779899236e-08,0.0008263660833160072,0.9704676897597552,0.00010797787407848688
164,3.269759085311644e-08,0.0008391110883687468,3.256170293347372,0.00045481090292532743
165,3.26975782431141e-08,0.0004890554964264532,0.7769711459419016,-0.00026538756632415593
166,3.269758922408189e-08,0.00045785043653966297,2.2334610465545772,0.0004796524304600024
167,3.269760716992269e-08,0.0009496024754902286,2.758451388584253,-0.00042316060205934683
168,3.269756753321828e-08,0.000861820673295298,1.4465865921897296,0.0002143498860834043
169,3.2697571265582275e-08,0.0013035700049247678,0.5086390703039582,-1.2503157911349387e-05
170,3.2697576687508344e-08,0.00043346108288669724,3.408844449387654,7.326907992812168e-05
171,3.269756215919988e-08,0.0006504842645842123,0.9145849969332357,0.00018321089688662937
172,3.2697574799194124e-08,0.00043480556595615864,1.6903985310063723,-0.0002363252622957428
173,3.2697617015378717e-08,0.0010488017320374127,3.223501755274464,0.0003089078684678085
174,3.2697593560128256e-08,0.00034748325360951565,2.0918012832322375,-0.0002907866337683824
175,3.269757355743436e-08,0.0012555781510444894,2.1749265690111876,-0.0003801081140022372
176,3.269759317799771e-08,0.0009610138449144972,1.5467578727956397,0.0002638831477967459
177,3.2697565448974297e-08,0.0008159432042018751,3.2991142795847543,0.0002107563877506147
178,3.2697584368847186e-08,0.0008734445547312209,2.202022227785477,-0.0002893983747528798
179,3.2697588428766536e-08,0.0009738978335143985,1.4465647580485679,0.00019450067018229
180,3.2697599623151056e-08,0.0001422580655406732,0.8365739032992812,-0.0002571714328536193
181,3.269756646955663e-08,0.00022741463017813033,0.8365665479414577,-0.00013068150581893367
182,3.269758376317342e-08,0.00015720290935436704,1.4961792119079154,-0.0002947367315285813
183,3.2697593453618885e-08,0.0003625389876773981,1.6902681078227497,-0.00011834200046135644
184,3.269758176676907e-08,0.0012104441180934412,1.8971642575591159,-7.119321389279865e-06
185,3.269759323979106e-08,0.000889007492285432,1.3571660733488697,0.00035719199524332555
186,3.269757427382378e-08,0.0014214358787942255,2.384277528131505,0.0001650294010602199
187,3.269758971238216e-08,0.0004797540597122528,0.5581158387462012,-0.00047267942477911595
188,3.2697561197952674e-08,0.0008737431650303972,2.7401533329176284,-0.00023785446664750353
189,3.269759930816873e-08,0.0009117178816666079,3.256184551736133,0.0003084709571751224
190,3.2697589044180164e-08,0.0008843781433594949,1.3571212666488872,0.00031131390755195646
191,3.269759739294591e-08,0.00013708222432681015,1.5341882012118828,0.0003248996758025373
192,3.2697595811499656e-08,0.0008511788491192161,0.9704077759712624,0.000379279339391118
193,3.269759662928401e-08,0.0009911650157329508,0.5547795822365014,0.00028081682129120716
194,3.2697590167874195e-08,0.0011515244552394181,0.537587242783929,1.638805324280328e-05
195,3.269757860705575e-08,0.0009934477284052879,3.2235170298534195,0.00034881226346949567
196,3.2697580628134406e-08,0.0011653785112292793,2.744377025428053,0.00030570265720384206
197,3.269757951597727e-08,0.0002521262621112074,1.5342293021168425,0.00037652105587789725
198,3.269757917763617e-08,0.0012756126893162137,3.4303866173391326,-0.00043461076951786695
199,3.269758823073134e-08,0.0007587128811763782,1.3571314702597903,0.0002577050145330284
