"GDD, fs^2","FOD, fs^4","Simulated Angular Frequency Width, /s"
-700.0000000000001,-111999.99999999999,307447196249042.3
-700.0000000000001,-100210.52631578947,308607133484179.56
-700.0000000000001,-88421.05263157893,308092983849185.7
-700.0000000000001,-76631.57894736841,307802742374964.0
-700.0000000000001,-64842.10526315789,307691966227023.44
-700.0000000000001,-53052.63157894737,307719077897712.3
-700.0000000000001,-41263.15789473685,307849913452420.7
-700.0000000000001,-29473.684210526317,308051554662861.25
-700.0000000000001,-17684.21052631579,308298025713512.75
-700.0000000000001,-5894.736842105263,308566300846176.0
-700.0000000000001,5894.736842105263,308836939151778.56
-700.0000000000001,17684.21052631579,309095546719051.5
-700.0000000000001,29473.6842105263,309332225530573.25
-700.0000000000001,41263.157894736825,309540995427099.56
-700.0000000000001,53052.63157894735,309720852671641.75
-700.0000000000001,64842.10526315788,309874107009255.5
-700.0000000000001,76631.57894736841,310006570834486.7
-700.0000000000001,88421.05263157893,310129116687384.25
-700.0000000000001,100210.52631578947,310254199308614.56
-700.0000000000001,111999.99999999999,310399050405884.56
-626.3157894736843,-111999.99999999999,313036142206605.94
-626.3157894736843,-100210.52631578947,313153830164827.44
-626.3157894736843,-88421.05263157893,314895085123483.25
-626.3157894736843,-76631.57894736841,314255850965942.25
-626.3157894736843,-64842.10526315789,313827642729540.1
-626.3157894736843,-53052.63157894737,313574584234963.7
-626.3157894736843,-41263.15789473685,313463659271380.8
-626.3157894736843,-29473.684210526317,313465913204213.6
-626.3157894736843,-17684.21052631579,313555424438386.8
-626.3157894736843,-5894.736842105263,313709553669654.6
-626.3157894736843,5894.736842105263,313906482205956.8
-626.3157894736843,17684.21052631579,314129605106907.4
-626.3157894736843,29473.6842105263,314362866022606.1
-626.3157894736843,41263.157894736825,314594100764636.25
-626.3157894736843,53052.63157894735,314814355168613.1
-626.3157894736843,64842.10526315788,315016694198780.0
-626.3157894736843,76631.57894736841,315196747482460.7
-626.3157894736843,88421.05263157893,315353038847029.44
-626.3157894736843,100210.52631578947,315487476693604.5
-626.3157894736843,111999.99999999999,315603529760485.8
-552.6315789473684,-111999.99999999999,317751810347607.4
-552.6315789473684,-100210.52631578947,317916760987475.0
-552.6315789473684,-88421.05263157893,318061516512333.7
-552.6315789473684,-76631.57894736841,318186751112690.75
-552.6315789473684,-64842.10526315789,318294488942632.44
-552.6315789473684,-53052.63157894737,318389959508650.2
-552.6315789473684,-41263.15789473685,318479147916719.3
-552.6315789473684,-29473.684210526317,318568783276481.75
-552.6315789473684,-17684.21052631579,318668985542418.6
-552.6315789473684,-5894.736842105263,320202162787507.06
-552.6315789473684,5894.736842105263,319681834208503.25
-552.6315789473684,17684.21052631579,319304743207497.56
-552.6315789473684,29473.6842105263,319065259650005.06
-552.6315789473684,41263.157894736825,318933428697206.8
-552.6315789473684,53052.63157894735,318893229968118.1
-552.6315789473684,64842.10526315788,318926483759483.4
-552.6315789473684,76631.57894736841,319016676780564.94
-552.6315789473684,88421.05263157893,319149751687633.44
-552.6315789473684,100210.52631578947,319313122173084.06
-552.6315789473684,111999.99999999999,319495162019013.1
-478.9473684210527,-111999.99999999999,321669647570274.7
-478.9473684210527,-100210.52631578947,321548156423698.9
-478.9473684210527,-88421.05263157893,321502546590622.6
-478.9473684210527,-76631.57894736841,321519573450958.06
-478.9473684210527,-64842.10526315789,321586709350081.94
-478.9473684210527,-53052.63157894737,321693058172232.6
-478.9473684210527,-41263.15789473685,321828806094721.9
-478.9473684210527,-29473.684210526317,321982770203971.0
-478.9473684210527,-17684.21052631579,322149847552380.4
-478.9473684210527,-5894.736842105263,322321686656771.9
-478.9473684210527,5894.736842105263,322492623959587.94
-478.9473684210527,17684.21052631579,322657559055679.5
-478.9473684210527,29473.6842105263,322813080382460.8
-478.9473684210527,41263.157894736825,322957316973067.75
-478.9473684210527,53052.63157894735,323087834770035.8
-478.9473684210527,64842.10526315788,323204141988338.0
-478.9473684210527,76631.57894736841,323306329384221.3
-478.9473684210527,88421.05263157893,323395857224354.25
-478.9473684210527,100210.52631578947,323475111450815.06
-478.9473684210527,111999.99999999999,323546087298389.06
-405.26315789473693,-111999.99999999999,324689447692314.3
-405.26315789473693,-100210.52631578947,324838711422642.06
-405.26315789473693,-88421.05263157893,324986260087906.25
-405.26315789473693,-76631.57894736841,325129424040830.7
-405.26315789473693,-64842.10526315789,325265480187617.8
-405.26315789473693,-53052.63157894737,325392464180406.6
-405.26315789473693,-41263.15789473685,325509026889479.75
-405.26315789473693,-29473.684210526317,325614740557054.4
-405.26315789473693,-17684.21052631579,325709531471478.4
-405.26315789473693,-5894.736842105263,325794001704026.0
-405.26315789473693,5894.736842105263,325868350060555.9
-405.26315789473693,17684.21052631579,325934272155078.44
-405.26315789473693,29473.6842105263,325994283001030.56
-405.26315789473693,41263.157894736825,326049786908176.06
-405.26315789473693,53052.63157894735,326103746908172.94
-405.26315789473693,64842.10526315788,326159260375378.56
-405.26315789473693,76631.57894736841,326218933858103.25
-405.26315789473693,88421.05263157893,326286553747262.25
-405.26315789473693,100210.52631578947,327774382103757.3
-405.26315789473693,111999.99999999999,327385797086377.56
-331.57894736842104,-111999.99999999999,327541751217209.44
-331.57894736842104,-100210.52631578947,327653214645817.1
-331.57894736842104,-88421.05263157893,327758059501277.06
-331.57894736842104,-76631.57894736841,327855809526649.0
-331.57894736842104,-64842.10526315789,327946088964566.44
-331.57894736842104,-53052.63157894737,328028145948665.75
-331.57894736842104,-41263.15789473685,328103124034116.25
-331.57894736842104,-29473.684210526317,328169352372355.4
-331.57894736842104,-17684.21052631579,328230113064485.0
-331.57894736842104,-5894.736842105263,328284374198184.5
-331.57894736842104,5894.736842105263,328333392770290.8
-331.57894736842104,17684.21052631579,328378638200974.06
-331.57894736842104,29473.6842105263,328421529256478.94
-331.57894736842104,41263.157894736825,328463261470747.9
-331.57894736842104,53052.63157894735,328505114598213.06
-331.57894736842104,64842.10526315788,328549487836046.7
-331.57894736842104,76631.57894736841,328597308659949.2
-331.57894736842104,88421.05263157893,328651685778695.8
-331.57894736842104,100210.52631578947,330168873055369.25
-331.57894736842104,111999.99999999999,329842418270284.9
-257.8947368421053,-111999.99999999999,329361555205980.2
-257.8947368421053,-100210.52631578947,329453055785129.06
-257.8947368421053,-88421.05263157893,329544500711114.3
-257.8947368421053,-76631.57894736841,329635370013412.1
-257.8947368421053,-64842.10526315789,329724452946515.7
-257.8947368421053,-53052.63157894737,329810445489104.06
-257.8947368421053,-41263.15789473685,329894401365816.7
-257.8947368421053,-29473.684210526317,329973709753194.9
-257.8947368421053,-17684.21052631579,330049474054261.7
-257.8947368421053,-5894.736842105263,330120867289086.2
-257.8947368421053,5894.736842105263,330187850260007.75
-257.8947368421053,17684.21052631579,330250409306208.5
-257.8947368421053,29473.6842105263,330308651954532.44
-257.8947368421053,41263.157894736825,330362121107987.0
-257.8947368421053,53052.63157894735,330411555923377.9
-257.8947368421053,64842.10526315788,330456489263370.6
-257.8947368421053,76631.57894736841,330498578600307.56
-257.8947368421053,88421.05263157893,330536551350240.6
-257.8947368421053,100210.52631578947,330571692570755.9
-257.8947368421053,111999.99999999999,330604124900632.4
-184.21052631578942,-111999.99999999999,331363194631528.44
-184.21052631578942,-100210.52631578947,331271839636323.5
-184.21052631578942,-88421.05263157893,331196160907026.2
-184.21052631578942,-76631.57894736841,331135520562132.5
-184.21052631578942,-64842.10526315789,331087285526409.1
-184.21052631578942,-53052.63157894737,331051768899580.8
-184.21052631578942,-41263.15789473685,331026703115786.3
-184.21052631578942,-29473.684210526317,331011246332051.25
-184.21052631578942,-17684.21052631579,331005263702495.3
-184.21052631578942,-5894.736842105263,331006510613342.1
-184.21052631578942,5894.736842105263,331015046605642.0
-184.21052631578942,17684.21052631579,331029863399261.3
-184.21052631578942,29473.6842105263,331050356271848.5
-184.21052631578942,41263.157894736825,331075605122709.9
-184.21052631578942,53052.63157894735,331104734684288.5
-184.21052631578942,64842.10526315788,331137810802905.6
-184.21052631578942,76631.57894736841,331173968213396.94
-184.21052631578942,88421.05263157893,331212717910529.3
-184.21052631578942,100210.52631578947,331253281178459.0
-184.21052631578942,111999.99999999999,331295309885042.9
-110.52631578947366,-111999.99999999999,332079962930179.25
-110.52631578947366,-100210.52631578947,332114982799428.7
-110.52631578947366,-88421.05263157893,332148850303377.2
-110.52631578947366,-76631.57894736841,332181142500579.9
-110.52631578947366,-64842.10526315789,332211910908289.75
-110.52631578947366,-53052.63157894737,332241379026401.94
-110.52631578947366,-41263.15789473685,332269664286830.4
-110.52631578947366,-29473.684210526317,332296355809631.6
-110.52631578947366,-17684.21052631579,332322185917623.1
-110.52631578947366,-5894.736842105263,332346036463621.06
-110.52631578947366,5894.736842105263,332369022679679.94
-110.52631578947366,17684.21052631579,332390658512331.5
-110.52631578947366,29473.6842105263,332411233426654.9
-110.52631578947366,41263.157894736825,332430256857961.2
-110.52631578947366,53052.63157894735,332449077350106.25
-110.52631578947366,64842.10526315788,332466101947942.8
-110.52631578947366,76631.57894736841,332482485876270.4
-110.52631578947366,88421.05263157893,332497819013214.4
-110.52631578947366,100210.52631578947,332511949025952.44
-110.52631578947366,111999.99999999999,332525352941035.9
-36.84210526315788,-111999.99999999999,332656558876893.8
-36.84210526315788,-100210.52631578947,332659644087253.75
-36.84210526315788,-88421.05263157893,332662154656524.25
-36.84210526315788,-76631.57894736841,332664521671416.0
-36.84210526315788,-64842.10526315789,332665937411270.2
-36.84210526315788,-53052.63157894737,332667662127861.44
-36.84210526315788,-41263.15789473685,332668866408178.75
-36.84210526315788,-29473.684210526317,332669675136195.6
-36.84210526315788,-17684.21052631579,332669979960180.2
-36.84210526315788,-5894.736842105263,332670026289740.8
-36.84210526315788,5894.736842105263,332669292956283.0
-36.84210526315788,17684.21052631579,332668785289794.3
-36.84210526315788,29473.6842105263,332668497331839.8
-36.84210526315788,41263.157894736825,332666567076101.44
-36.84210526315788,53052.63157894735,332664692004797.6
-36.84210526315788,64842.10526315788,332663285074101.0
-36.84210526315788,76631.57894736841,332661055846476.6
-36.84210526315788,88421.05263157893,332658408654281.94
-36.84210526315788,100210.52631578947,332655376169539.2
-36.84210526315788,111999.99999999999,332652254651306.2
36.842105263157976,-111999.99999999999,332536375744058.94
36.842105263157976,-100210.52631578947,332527734530787.0
36.842105263157976,-88421.05263157893,332518709273031.2
36.842105263157976,-76631.57894736841,332509569463932.0
36.842105263157976,-64842.10526315789,332499420979838.94
36.842105263157976,-53052.63157894737,332489534864503.25
36.842105263157976,-41263.15789473685,332478535698499.44
36.842105263157976,-29473.684210526317,332467488146479.9
36.842105263157976,-17684.21052631579,332456270605814.06
36.842105263157976,-5894.736842105263,332444275694412.9
36.842105263157976,5894.736842105263,332431839150230.56
36.842105263157976,17684.21052631579,332419271222369.7
36.842105263157976,29473.6842105263,332405704429548.4
36.842105263157976,41263.157894736825,332392378003379.7
36.842105263157976,53052.63157894735,332377956291327.4
36.842105263157976,64842.10526315788,332363227569160.44
36.842105263157976,76631.57894736841,332347664654908.1
36.842105263157976,88421.05263157893,332331637104056.1
36.842105263157976,100210.52631578947,332315001468877.7
36.842105263157976,111999.99999999999,332297883374929.9
110.52631578947374,-111999.99999999999,331831396588788.3
110.52631578947374,-100210.52631578947,331795934376915.56
110.52631578947374,-88421.05263157893,331759865192578.7
110.52631578947374,-76631.57894736841,331721666261539.2
110.52631578947374,-64842.10526315789,331682313478814.7
110.52631578947374,-53052.63157894737,331641517522791.0
110.52631578947374,-41263.15789473685,331599621379159.3
110.52631578947374,-29473.684210526317,331555792192766.7
110.52631578947374,-17684.21052631579,331511321167579.8
110.52631578947374,-5894.736842105263,331464379166690.75
110.52631578947374,5894.736842105263,331416255955295.2
110.52631578947374,17684.21052631579,331366468307244.44
110.52631578947374,29473.6842105263,331315877633549.8
110.52631578947374,41263.157894736825,331263223630791.56
110.52631578947374,53052.63157894735,331209953287445.3
110.52631578947374,64842.10526315788,331155632837439.06
110.52631578947374,76631.57894736841,331099572358575.1
110.52631578947374,88421.05263157893,331043415997702.5
110.52631578947374,100210.52631578947,330984338382805.3
110.52631578947374,111999.99999999999,330926410828343.94
184.2105263157895,-111999.99999999999,330061667813917.25
184.2105263157895,-100210.52631578947,330054432057777.0
184.2105263157895,-88421.05263157893,330056244505407.06
184.2105263157895,-76631.57894736841,330066803842292.75
184.2105263157895,-64842.10526315789,330089021195336.3
184.2105263157895,-53052.63157894737,330122830168396.56
184.2105263157895,-41263.15789473685,330169207080237.44
184.2105263157895,-29473.684210526317,330230261020773.2
184.2105263157895,-17684.21052631579,330306708265175.75
184.2105263157895,-5894.736842105263,330400015667551.75
184.2105263157895,5894.736842105263,330512225376481.3
184.2105263157895,17684.21052631579,330644760990244.94
184.2105263157895,29473.6842105263,330799956916297.2
184.2105263157895,41263.157894736825,330979217146962.8
184.2105263157895,53052.63157894735,331184195016116.75
184.2105263157895,64842.10526315788,331417294766559.6
184.2105263157895,76631.57894736841,329773189661735.56
184.2105263157895,88421.05263157893,329721857873161.25
184.2105263157895,100210.52631578947,329673281746784.6
184.2105263157895,111999.99999999999,329626928945546.9
257.8947368421053,-111999.99999999999,328550088645519.7
257.8947368421053,-100210.52631578947,328456672980234.0
257.8947368421053,-88421.05263157893,328359150355636.06
257.8947368421053,-76631.57894736841,328257813913310.56
257.8947368421053,-64842.10526315789,328152249995101.3
257.8947368421053,-53052.63157894737,328044460883362.9
257.8947368421053,-41263.15789473685,327935060986535.0
257.8947368421053,-29473.684210526317,327824184917996.5
257.8947368421053,-17684.21052631579,327712743698172.4
257.8947368421053,-5894.736842105263,327601848843357.5
257.8947368421053,5894.736842105263,327493613245664.9
257.8947368421053,17684.21052631579,327389429862744.8
257.8947368421053,29473.6842105263,327290283384243.0
257.8947368421053,41263.157894736825,327198221778984.2
257.8947368421053,53052.63157894735,327114786320948.6
257.8947368421053,64842.10526315788,327043352434660.2
257.8947368421053,76631.57894736841,326985323512432.25
257.8947368421053,88421.05263157893,326943321371682.56
257.8947368421053,100210.52631578947,326920939677284.6
257.8947368421053,111999.99999999999,326920197900209.4
331.5789473684212,-111999.99999999999,325961671263793.2
331.5789473684212,-100210.52631578947,325877686833854.9
331.5789473684212,-88421.05263157893,325786670760288.25
331.5789473684212,-76631.57894736841,325688366319716.9
331.5789473684212,-64842.10526315789,325582219696766.7
331.5789473684212,-53052.63157894737,325467411450867.7
331.5789473684212,-41263.15789473685,325344874945260.06
331.5789473684212,-29473.684210526317,325214876007807.5
331.5789473684212,-17684.21052631579,325077381910866.3
331.5789473684212,-5894.736842105263,324934615699143.2
331.5789473684212,5894.736842105263,324787050057809.3
331.5789473684212,17684.21052631579,324636428187799.8
331.5789473684212,29473.6842105263,324485856650679.06
331.5789473684212,41263.157894736825,324336395858766.56
331.5789473684212,53052.63157894735,324191277499649.4
331.5789473684212,64842.10526315788,324054325906102.25
331.5789473684212,76631.57894736841,323928712754301.0
331.5789473684212,88421.05263157893,323818255202665.06
331.5789473684212,100210.52631578947,323728374720545.4
331.5789473684212,111999.99999999999,323662601350833.4
405.263157894737,-111999.99999999999,322409402043692.56
405.263157894737,-100210.52631578947,322283599748099.06
405.263157894737,-88421.05263157893,322145645778270.9
405.263157894737,-76631.57894736841,321996613423303.1
405.263157894737,-64842.10526315789,321836564291705.4
405.263157894737,-53052.63157894737,321667193985321.4
405.263157894737,-41263.15789473685,321489855795908.75
405.263157894737,-29473.684210526317,321306840029754.1
405.263157894737,-17684.21052631579,321121019182810.0
405.263157894737,-5894.736842105263,320937574431365.5
405.263157894737,5894.736842105263,320759359094368.9
405.263157894737,17684.21052631579,320592685116500.2
405.263157894737,29473.6842105263,320442619251513.94
405.263157894737,41263.157894736825,320316941090261.3
405.263157894737,53052.63157894735,320221943462379.9
405.263157894737,64842.10526315788,320166689630356.94
405.263157894737,76631.57894736841,320159519386775.44
405.263157894737,88421.05263157893,320210685585086.75
405.263157894737,100210.52631578947,320330931202057.3
405.263157894737,111999.99999999999,320532511620615.56
478.9473684210528,-111999.99999999999,317486921914377.06
478.9473684210528,-100210.52631578947,317274062830808.44
478.9473684210528,-88421.05263157893,317070974322975.6
478.9473684210528,-76631.57894736841,316886658253850.56
478.9473684210528,-64842.10526315789,316729311610404.94
478.9473684210528,-53052.63157894737,316609005961101.1
478.9473684210528,-41263.15789473685,316537258378427.56
478.9473684210528,-29473.684210526317,316526014051253.9
478.9473684210528,-17684.21052631579,316592638670591.5
478.9473684210528,-5894.736842105263,316748074022998.56
478.9473684210528,5894.736842105263,317013097766162.75
478.9473684210528,17684.21052631579,317397993830135.9
478.9473684210528,29473.6842105263,316185799058639.0
478.9473684210528,41263.157894736825,316039792150602.25
478.9473684210528,53052.63157894735,315908205365784.8
478.9473684210528,64842.10526315788,315782580597194.75
478.9473684210528,76631.57894736841,315657174462205.0
478.9473684210528,88421.05263157893,315525460053828.6
478.9473684210528,100210.52631578947,315382346809878.4
478.9473684210528,111999.99999999999,315225545617037.6
552.6315789473686,-111999.99999999999,312310088401069.2
552.6315789473686,-100210.52631578947,312152661303821.2
552.6315789473686,-88421.05263157893,312006427863050.7
552.6315789473686,-76631.57894736841,311862977317427.56
552.6315789473686,-64842.10526315789,311714535284248.25
552.6315789473686,-53052.63157894737,311554711493579.25
552.6315789473686,-41263.15789473685,311378408767988.75
552.6315789473686,-29473.684210526317,311182051802778.56
552.6315789473686,-17684.21052631579,310965256296043.94
552.6315789473686,-5894.736842105263,310727351649130.56
552.6315789473686,5894.736842105263,310471695826432.8
552.6315789473686,17684.21052631579,310202707047274.0
552.6315789473686,29473.6842105263,309928315564792.5
552.6315789473686,41263.157894736825,309656439729409.06
552.6315789473686,53052.63157894735,309398758873006.1
552.6315789473686,64842.10526315788,309168879550668.1
552.6315789473686,76631.57894736841,308983452535051.9
552.6315789473686,88421.05263157893,308859778896107.94
552.6315789473686,100210.52631578947,308818809378712.9
552.6315789473686,111999.99999999999,308882696078794.3
626.3157894736843,-111999.99999999999,305025497175252.5
626.3157894736843,-100210.52631578947,304850579162044.25
626.3157894736843,-88421.05263157893,304758577835741.0
626.3157894736843,-76631.57894736841,304774227869657.3
626.3157894736843,-64842.10526315789,304928171370160.75
626.3157894736843,-53052.63157894737,305251698051329.2
626.3157894736843,-41263.15789473685,305784335730932.8
626.3157894736843,-29473.684210526317,304233139197769.6
626.3157894736843,-17684.21052631579,304042406467171.5
626.3157894736843,-5894.736842105263,303861896310548.5
626.3157894736843,5894.736842105263,303679034430671.75
626.3157894736843,17684.21052631579,303483119573605.9
626.3157894736843,29473.6842105263,303266679765669.1
626.3157894736843,41263.157894736825,303024613506706.3
626.3157894736843,53052.63157894735,302756298470444.3
626.3157894736843,64842.10526315788,302461911264768.75
626.3157894736843,76631.57894736841,302147446114369.1
626.3157894736843,88421.05263157893,301821760055145.94
626.3157894736843,100210.52631578947,301496545555527.7
626.3157894736843,111999.99999999999,301188375814272.75
700.0000000000001,-111999.99999999999,297303390711003.1
700.0000000000001,-100210.52631578947,296969391115144.25
700.0000000000001,-88421.05263157893,296671932200059.4
700.0000000000001,-76631.57894736841,296437003408793.1
700.0000000000001,-64842.10526315789,296295177137212.7
700.0000000000001,-53052.63157894737,296282381991245.25
700.0000000000001,-41263.15789473685,296437939267103.06
700.0000000000001,-29473.684210526317,296807043045672.44
700.0000000000001,-17684.21052631579,297441574350562.56
700.0000000000001,-5894.736842105263,295636558227952.56
700.0000000000001,5894.736842105263,295417261204662.2
700.0000000000001,17684.21052631579,295202270667431.94
700.0000000000001,29473.6842105263,294976392008457.06
700.0000000000001,41263.157894736825,294728163036658.4
700.0000000000001,53052.63157894735,294450240326564.3
700.0000000000001,64842.10526315788,294139985572812.3
700.0000000000001,76631.57894736841,293799477730537.9
700.0000000000001,88421.05263157893,293436666961494.1
700.0000000000001,100210.52631578947,293063423857899.75
700.0000000000001,111999.99999999999,292698971025044.7
