radius,Fibre Length,Transmission
3e-05,0.1,0.35879215611877896
3e-05,0.2,0.1288837027970923
3e-05,0.3,0.04635167412773578
3e-05,0.4,0.0166896393255994
3e-05,0.5,0.006016572604075691
3e-05,0.6,0.002171660488377194
3e-05,0.7,0.0007849243361895019
3e-05,0.7999999999999999,0.0002841771870432017
3e-05,0.8999999999999999,0.00010313530324968603
3e-05,0.9999999999999999,3.759131006598367e-05
3e-05,1.0999999999999999,1.3822364308314275e-05
3e-05,1.2,5.181664134766336e-06
3e-05,1.3,2.0270577526057646e-06
3e-05,1.4,8.650864980085617e-07
3e-05,1.5,4.284689805324173e-07
3e-05,1.5999999999999999,2.563304844221911e-07
3e-05,1.7,1.7429726783109036e-07
3e-05,1.8,8.78464769646552e-08
3e-05,1.9,2.103273469000651e-08
3e-05,2.0,3.950968731699853e-09
3e-05,2.0999999999999996,6.033122340496002e-10
3e-05,2.1999999999999997,2.2062623296691607e-10
3e-05,2.3,8.727053414326458e-11
3e-05,2.4,3.773841154195953e-11
3e-05,2.5,1.8939721807345553e-11
3e-05,2.6,1.2191351750392231e-11
3e-05,2.6999999999999997,1.0010522265386175e-11
3e-05,2.8,7.691764000850578e-12
3e-05,2.9,7.197272285623144e-12
3e-05,3.0,5.4135113786250124e-12
5e-05,0.1,0.8013197673666548
5e-05,0.2,0.6421489589106565
5e-05,0.3,0.5146235590789727
5e-05,0.4,0.4124462292262319
5e-05,0.5,0.3305742410167066
5e-05,0.6,0.26496875929327973
5e-05,0.7,0.21239506157225008
5e-05,0.7999999999999999,0.17026221571176653
5e-05,0.8999999999999999,0.13649486578609793
5e-05,0.9999999999999999,0.10943053225308631
5e-05,1.0999999999999999,0.08773743440978221
5e-05,1.2,0.07034861364539505
5e-05,1.3,0.0564092631517867
5e-05,1.4,0.0452344737398028
5e-05,1.5,0.036275461239210174
5e-05,1.5999999999999999,0.029092473490460204
5e-05,1.7,0.023333113815393297
5e-05,1.8,0.018714971633252076
5e-05,1.9,0.015011707947104274
5e-05,2.0,0.012041915630955819
5e-05,2.0999999999999996,0.009660191300144732
5e-05,2.1999999999999997,0.007749981295211166
5e-05,2.3,0.00621785554751641
5e-05,2.4,0.004988911684437689
5e-05,2.5,0.004003100676718762
5e-05,2.6,0.0032122767416476973
5e-05,2.6999999999999997,0.0025778381830343345
5e-05,2.8,0.002068831739993701
5e-05,2.9,0.0016604355794932308
5e-05,3.0,0.001332745101939318
7e-05,0.1,0.9224465588896679
7e-05,0.2,0.8509144218957352
7e-05,0.3,0.7849349643044172
7e-05,0.4,0.7240770862219512
7e-05,0.5,0.667942023881447
7e-05,0.6,0.6161636492213733
7e-05,0.7,0.5684032816325344
7e-05,0.7999999999999999,0.5243487493716198
7e-05,0.8999999999999999,0.4837121838222095
7e-05,0.9999999999999999,0.4462282351020767
7e-05,1.0999999999999999,0.4116520352114836
7e-05,1.2,0.37975777074825806
7e-05,1.3,0.3503372453899793
7e-05,1.4,0.323198352982791
7e-05,1.5,0.29816403298848
7e-05,1.5999999999999999,0.2750708019978707
7e-05,1.7,0.25376810030439195
7e-05,1.8,0.23411693286487575
7e-05,1.9,0.21598909815336143
7e-05,2.0,0.19926641104454415
7e-05,2.0999999999999996,0.1838398401002636
7e-05,2.1999999999999997,0.16960882325926618
7e-05,2.3,0.15648059630402014
7e-05,2.4,0.14436962343109597
7e-05,2.5,0.13319698867227175
7e-05,2.6,0.12288992309418827
7e-05,2.6999999999999997,0.1133812931738872
7e-05,2.8,0.10460919089057076
7e-05,2.9,0.09651649454633364
7e-05,3.0,0.08905053206194723
9e-05,0.1,0.9627291775917844
9e-05,0.2,0.9268493943956002
9e-05,0.3,0.8923083129917619
9e-05,0.4,0.8590559818309479
9e-05,0.5,0.8270439502124232
9e-05,0.6,0.7962262689004171
9e-05,0.7,0.7665581405528841
9e-05,0.7999999999999999,0.7379965275353633
9e-05,0.8999999999999999,0.7105003023927801
9e-05,0.9999999999999999,0.6840296912230279
9e-05,1.0999999999999999,0.6585463156641581
9e-05,1.2,0.6340133303527256
9e-05,1.3,0.6103952483307886
9e-05,1.4,0.5876579280047378
9e-05,1.5,0.5657685807790718
9e-05,1.5999999999999999,0.5446953787941876
9e-05,1.7,0.5244079288143835
9e-05,1.8,0.5048769715150113
9e-05,1.9,0.4860741782015906
9e-05,2.0,0.4679724127894998
9e-05,2.0999999999999996,0.45054551478144994
9e-05,2.1999999999999997,0.43376830911510716
9e-05,2.3,0.4176164871747761
9e-05,2.4,0.4020667885503002
9e-05,2.5,0.3870967242620811
9e-05,2.6,0.3726846413227593
9e-05,2.6999999999999997,0.3588097354624783
9e-05,2.8,0.345451955940503
9e-05,2.9,0.33259200936024286
9e-05,3.0,0.320211321611909
0.00011,0.1,0.9794109166739849
0.00011,0.2,0.9592464522187838
0.00011,0.3,0.9394979554988426
0.00011,0.4,0.9201561726245526
0.00011,0.5,0.9012132553700116
0.00011,0.6,0.8826609729670984
0.00011,0.7,0.864490257211846
0.00011,0.7999999999999999,0.846694544285839
0.00011,0.8999999999999999,0.8292654941803009
0.00011,0.9999999999999999,0.8121955243916422
0.00011,1.0999999999999999,0.7954772821688102
0.00011,1.2,0.7791036692087099
0.00011,1.3,0.7630674325431435
0.00011,1.4,0.7473616057470339
0.00011,1.5,0.7319793870721615
0.00011,1.5999999999999999,0.7169141151378732
0.00011,1.7,0.7021593775480163
0.00011,1.8,0.6877084948920964
0.00011,1.9,0.6735552252449387
0.00011,2.0,0.6596936668432001
0.00011,2.0999999999999996,0.6461176912439077
0.00011,2.1999999999999997,0.6328214085989116
0.00011,2.3,0.6197990365690355
0.00011,2.4,0.6070449262085251
0.00011,2.5,0.5945535722207885
0.00011,2.6,0.5823196262472499
0.00011,2.6999999999999997,0.5703375857744799
0.00011,2.8,0.5586023760246261
0.00011,2.9,0.5471088849036198
0.00011,3.0,0.5358522207629753
0.00013,0.1,0.9874752942659649
0.00013,0.2,0.975108098492092
0.00013,0.3,0.962895983942293
0.00013,0.4,0.9508367152074654
0.00013,0.5,0.9389288293583347
0.00013,0.6,0.9271702984117971
0.00013,0.7,0.91555916701886
0.00013,0.7999999999999999,0.904093589286978
0.00013,0.8999999999999999,0.8927717446166552
0.00013,0.9999999999999999,0.8815918229759766
0.00013,1.0999999999999999,0.870552067501916
0.00013,1.2,0.8596507000652244
0.00013,1.3,0.8488859944880811
0.00013,1.4,0.8382562343390083
0.00013,1.5,0.8277597146908882
0.00013,1.5999999999999999,0.8173947808905679
0.00013,1.7,0.8071597679629312
0.00013,1.8,0.7970530604610737
0.00013,1.9,0.7870730317947909
0.00013,2.0,0.7772180941586824
0.00013,2.0999999999999996,0.7674866755702149
0.00013,2.1999999999999997,0.7578772430881924
0.00013,2.3,0.7483882771155613
0.00013,2.4,0.7390183286419659
0.00013,2.5,0.7297657362858155
0.00013,2.6,0.7206291069393141
0.00013,2.6999999999999997,0.7116069864910242
0.00013,2.8,0.7026979278768871
0.00013,2.9,0.6939006154374153
0.00013,3.0,0.6852135254875429
