"Omega, /s",Intensity
239135452881006.75,5.723768866227023e-41
248332970299507.0,1.6880723387171238e-41
257530487718007.28,8.917573399323072e-41
266728005136507.53,8.144556982140295e-41
275925522555007.78,9.970078911320464e-41
285123039973508.06,2.5237933644314124e-40
294320557392008.3,3.889486600743369e-40
303518074810508.56,6.601701563188872e-40
312715592229008.8,7.534102948984437e-40
321913109647509.06,1.767530900454705e-39
331110627066009.4,5.7607492615291836e-39
340308144484509.6,4.865423011039188e-39
349505661903009.9,3.5137057245283153e-38
358703179321510.1,3.014828271295724e-38
367900696740010.4,3.981254502570151e-38
377098214158510.6,9.490403431336828e-38
386295731577010.94,4.818512815950244e-37
395493248995511.2,8.295928030498978e-37
404690766414011.44,4.234228076745436e-37
413888283832511.7,3.016631241204453e-36
423085801251011.94,5.0989064832580384e-37
432283318669512.2,2.4695296992100464e-35
441480836088012.5,4.078856173542486e-34
450678353506512.75,7.196247503242304e-34
459875870925013.0,8.340809739722436e-34
469073388343513.25,1.736634080783055e-33
478270905762013.5,1.1640756710614685e-33
487468423180513.75,1.9096232553742367e-34
496665940599014.0,3.52475078474594e-34
505863458017514.3,2.2955832330924795e-33
515060975436014.56,1.7123000102192557e-33
524258492854514.8,1.4377166675136246e-33
533456010273015.06,9.682241400792901e-34
542653527691515.3,1.3887978193322107e-33
551851045110015.56,7.232352405681363e-36
561048562528515.9,1.0161259448713008e-34
570246079947016.1,3.085200639105378e-33
579443597365516.4,1.1235916873494159e-33
588641114784016.6,2.5199285552653047e-33
597838632202516.9,8.942294724680793e-34
607036149621017.1,1.1033788222949241e-32
616233667039517.4,2.169930458602315e-34
625431184458017.6,4.485603844303328e-33
634628701876517.9,7.919892059694684e-33
643826219295018.1,2.491096705427075e-33
653023736713518.5,8.250640405004066e-33
662221254132018.8,6.655980198469507e-33
671418771550519.0,1.5114367108896166e-32
680616288969019.2,3.4715617688437436e-32
689813806387519.5,1.3610551819897308e-32
699011323806019.8,1.978889786709285e-32
708208841224520.0,3.0557173724512686e-32
717406358643020.2,1.6593097977860725e-32
726603876061520.5,6.352025022786806e-32
735801393480020.8,8.223478217726623e-32
744998910898521.0,9.098559182164578e-32
754196428317021.2,1.34887167782641e-31
763393945735521.5,9.806794086261392e-32
772591463154021.9,1.2086842869639266e-31
781788980572522.1,3.001579946875749e-31
790986497991022.4,2.531275388163037e-31
800184015409522.6,3.4325767817493962e-31
809381532828022.9,3.695801775518069e-31
818579050246523.1,3.7184496584074166e-31
827776567665023.4,6.68242837757112e-31
836974085083523.6,8.32121938262362e-31
846171602502023.9,8.341255143762379e-31
855369119920524.1,1.3974095150327081e-30
864566637339024.4,1.3420159509981955e-30
873764154757524.6,1.2784835997144134e-30
882961672176025.0,2.5439553743360186e-30
892159189594525.2,2.3944053502768428e-30
901356707013025.5,2.311635148865562e-30
910554224431525.8,4.580323154052994e-30
919751741850026.0,3.547935311287084e-30
928949259268526.2,4.729048158410706e-30
938146776687026.5,8.088105233408045e-30
947344294105526.8,5.872894158578945e-30
956541811524027.0,9.364973508447119e-30
965739328942527.2,1.3253421336434332e-29
974936846361027.5,9.72046612148419e-30
984134363779527.8,1.753097747823933e-29
993331881198028.0,2.1512458529203027e-29
1002529398616528.4,1.56209825936718e-29
1011726916035028.6,3.3783513204683686e-29
1020924433453528.9,3.353725685299488e-29
1030121950872029.1,2.997654115567587e-29
1039319468290529.4,6.154984565399323e-29
1048516985709029.6,5.227499331476145e-29
1057714503127529.9,5.484778161185558e-29
1066912020546030.1,1.0789625654110044e-28
1076109537964530.4,8.085928087491506e-29
1085307055383030.6,1.0583526991543822e-28
1094504572801530.9,1.8313313764670638e-28
1103702090220031.1,1.220589411946825e-28
1112899607638531.4,2.0125516015194612e-28
1122097125057031.8,3.0105219157927553e-28
1131294642475532.0,2.0113150273889762e-28
1140492159894032.2,3.815863152390291e-28
1149689677312532.5,4.912099167626889e-28
1158887194731032.8,3.341113148928291e-28
1168084712149533.0,7.204105523504031e-28
1177282229568033.2,7.905984609776747e-28
1186479746986533.5,6.000261443197959e-28
1195677264405033.8,1.3159004825629008e-27
1204874781823534.0,1.2424177767080352e-27
1214072299242034.2,1.1046911577591654e-27
1223269816660534.5,2.3593612665276742e-27
1232467334079034.8,1.9599181666578483e-27
1241664851497535.0,2.0836758290769735e-27
1250862368916035.2,4.13848284240494e-27
1260059886334535.5,3.0617469152795405e-27
1269257403753035.8,3.9809172129008996e-27
1278454921171536.0,7.067992002645728e-27
1287652438590036.2,4.861941224766793e-27
1296849956008536.8,7.565866112194445e-27
1306047473427037.0,1.185648695707692e-26
1315244990845537.2,7.886913404712442e-27
1324442508264037.5,1.420788117009794e-26
1333640025682537.8,1.9355938317596564e-26
1342837543101038.0,1.3130347897577564e-26
1352035060519538.2,2.6105786814911945e-26
1361232577938038.5,3.1123741791966864e-26
1370430095356538.8,2.2593552348373239e-26
1379627612775039.0,4.68591384419471e-26
1388825130193539.2,4.908427963799334e-26
1398022647612039.5,3.982631137183144e-26
1407220165030539.8,8.217673479148416e-26
1416417682449040.0,7.698670879311251e-26
1425615199867540.2,7.126390613405246e-26
1434812717286040.5,1.4087579707900718e-25
1444010234704540.8,1.2067796964012205e-25
1453207752123041.0,1.2791144708945636e-25
1462405269541541.2,2.3742125409797566e-25
1471602786960041.5,1.9021043992099865e-25
1480800304378541.8,2.285641172757827e-25
1489997821797042.0,3.942061542595957e-25
1499195339215542.2,3.0189661600991523e-25
1508392856634042.5,4.043344096318599e-25
1517590374052542.8,6.485932674147917e-25
1526787891471043.0,4.82107108235032e-25
1535985408889543.5,7.086301589763833e-25
1545182926308043.8,1.0590987710329473e-24
1554380443726544.0,7.707276963171916e-25
1563577961145044.2,1.2319029584029302e-24
1572775478563544.5,1.7182067320343047e-24
1581972995982044.8,1.2275974589907018e-24
1591170513400545.0,2.1328695587766444e-24
1600368030819045.2,2.756433528932571e-24
1609565548237545.5,1.947298740896186e-24
1618763065656045.8,3.6845136104755754e-24
1627960583074546.0,4.350185757251602e-24
1637158100493046.2,3.088782237502702e-24
1646355617911546.5,6.344523257797069e-24
1655553135330046.8,6.702430666287028e-24
1664750652748547.0,4.9482193359969055e-24
1673948170167047.2,1.0847354298365362e-23
1683145687585547.5,9.997752236576536e-24
1692343205004047.8,8.113962590533268e-24
1701540722422548.0,1.8274750515231475e-23
1710738239841048.2,1.4353938941563356e-23
1719935757259548.5,1.3744112225197272e-23
1729133274678048.8,3.0076546810968116e-23
1738330792096549.0,1.9770231634629666e-23
1747528309515049.2,2.401673592913151e-23
1756725826933549.5,4.792133059865136e-23
1765923344352050.0,2.6256107379765465e-23
1775120861770550.2,4.2752439557241335e-23
1784318379189050.5,7.32866810760474e-23
1793515896607550.8,3.4253470143234075e-23
1802713414026051.0,7.609271417313745e-23
1811910931444551.2,1.0670373739477415e-22
1821108448863051.5,4.576482264317537e-23
1830305966281551.8,1.3291539880907801e-22
1839503483700052.0,1.4686298372612036e-22
1848701001118552.2,6.629173392146019e-23
1857898518537052.5,2.2467331778559204e-22
1867096035955552.8,1.896296291516048e-22
1876293553374053.0,1.0813260710766699e-22
1885491070792553.2,3.636016917776018e-22
1894688588211053.5,2.285945292687191e-22
1903886105629553.8,1.9418293581796683e-22
1913083623048054.0,5.596737755550323e-22
1922281140466554.2,2.5665918633256795e-22
1931478657885054.5,3.62113030583532e-22
1940676175303554.8,8.146798289315729e-22
1949873692722055.0,2.733493646715053e-22
1959071210140555.2,6.698649248889899e-22
1968268727559055.5,1.112026907061082e-21
1977466244977555.8,2.9840032223148034e-22
1986663762396056.0,1.1755794732397953e-21
1995861279814556.2,1.4380753963197715e-21
2005058797233056.8,3.6936650467635905e-22
2014256314651557.0,2.00735606734966e-21
2023453832070057.2,1.6608668828989794e-21
2032651349488557.5,6.550964660300104e-22
2041848866907057.8,3.063010459171019e-21
2051046384325558.0,1.9511672822586353e-21
2060243901744058.2,1.218692997570687e-21
2069441419162558.5,4.88071581843271e-21
2078638936581058.8,1.6200736189320678e-21
2087836453999559.0,2.3580113568104093e-21
2097033971418059.2,7.009251590305592e-21
2106231488836559.5,1.5078565326717795e-21
2115429006255059.8,6.154069697572036e-21
2124626523673560.0,8.569999342301656e-21
2133824041092060.2,1.7301322692266105e-21
2143021558510560.5,6.172275054837142e-21
2152219075929060.8,1.5381389969194983e-20
2161416593347561.0,2.311693839897457e-22
2170614110766061.2,2.8594903429713075e-20
2179811628184561.5,6.588657323559255e-21
2189009145603061.8,2.6399532566846674e-20
2198206663021562.0,5.959507461229934e-21
2207404180440062.2,1.0003175429432781e-19
2216601697858562.5,6.247536132394798e-20
2225799215277062.8,8.739262851812738e-20
2234996732695563.0,1.721723168353804e-21
2244194250114063.5,2.465992807162911e-19
2253391767532563.5,1.3447559237259225e-19
2262589284951064.0,3.221942723407122e-19
2271786802369564.0,3.371697090555206e-19
2280984319788064.5,2.9948078380606184e-19
2290181837206564.5,3.8803452823343973e-19
2299379354625065.0,1.9183149819377365e-18
2308576872043565.0,7.194894352058792e-18
2317774389462065.5,3.811790637484363e-18
2326971906880565.5,4.731513815815616e-18
2336169424299066.0,1.1288566103056878e-18
2345366941717566.0,1.106879551151418e-18
2354564459136066.5,4.871581335743282e-18
2363761976554567.0,6.824929097531896e-18
2372959493973067.0,3.141120071175248e-18
2382157011391567.5,4.4267051401571824e-18
2391354528810067.5,7.175494572678622e-18
2400552046228568.0,4.396570003369394e-18
2409749563647068.0,1.1360572791314308e-17
2418947081065568.5,4.7528152003530926e-18
2428144598484068.5,4.979536388795049e-19
2437342115902569.0,1.2326160576744682e-18
2446539633321069.0,1.1436461261144873e-19
2455737150739569.5,4.2126107517026676e-19
2464934668158069.5,1.6859016344855546e-19
2474132185576570.0,3.0751234018260275e-19
2483329702995070.0,1.9745626436102092e-19
2492527220413570.5,1.054397459149413e-19
2501724737832070.5,3.344767434951692e-20
2510922255250571.0,1.8562013634033154e-19
2520119772669071.0,1.9062862823375543e-20
2529317290087571.5,2.5368208802396168e-20
2538514807506071.5,1.2195595388249366e-20
2547712324924572.0,8.991038642208479e-21
2556909842343072.0,7.956410191583835e-22
2566107359761572.5,2.70224096318181e-20
2575304877180072.5,5.076315249262411e-21
2584502394598573.0,1.0988791270153964e-20
2593699912017073.5,6.000661784261805e-21
2602897429435573.5,3.2806782669584206e-23
2612094946854074.0,2.8701982905077325e-21
2621292464272574.0,4.522499154484276e-21
2630489981691074.5,2.4982442726591524e-22
2639687499109574.5,4.610140352068802e-21
2648885016528075.0,2.660094643232635e-21
2658082533946575.0,2.6720351843966634e-22
2667280051365075.5,2.9960038311594686e-21
2676477568783575.5,8.924647136517733e-22
2685675086202076.0,2.6057757645537713e-22
2694872603620576.0,1.8869790571058114e-21
2704070121039076.5,5.237424722740319e-22
2713267638457576.5,4.5688711261011795e-22
2722465155876077.0,1.3474680133579697e-21
2731662673294577.0,1.74899853473508e-22
2740860190713077.5,4.800847776223278e-22
2750057708131577.5,7.45883345196486e-22
2759255225550078.0,6.176935524672796e-23
2768452742968578.0,4.0669648792861747e-22
2777650260387078.5,4.314219918846427e-22
2786847777805578.5,4.4035003960568674e-23
2796045295224079.0,3.3023733633894535e-22
2805242812642579.0,2.25348536599671e-22
2814440330061079.5,4.701794900643993e-23
2823637847479579.5,2.292422387363705e-22
2832835364898080.0,1.1112471684191928e-22
2842032882316580.5,5.120464538669137e-23
2851230399735080.5,1.493695964002949e-22
2860427917153581.0,5.648257479981452e-23
2869625434572081.0,4.925776870349194e-23
2878822951990581.5,9.020182678045797e-23
2888020469409081.5,3.121118051361875e-23
2897217986827582.0,4.0183525682254835e-23
2906415504246082.0,5.133004129468612e-23
2915613021664582.5,2.0483532323276488e-23
2924810539083082.5,2.902233928836089e-23
2934008056501583.0,2.8799433392692644e-23
2943205573920083.0,1.5209791398201825e-23
2952403091338583.5,1.8767844253726884e-23
2961600608757083.5,1.6670554611543027e-23
2970798126175584.0,1.1440901038339423e-23
2979995643594084.0,1.1048500282221545e-23
2989193161012584.5,1.0528009507048899e-23
2998390678431084.5,8.142920366747226e-24
3007588195849585.0,6.127885073525402e-24
3016785713268085.0,7.32144552013557e-24
3025983230686585.5,5.27880659675557e-24
3035180748105085.5,3.4104065942974375e-24
3044378265523586.0,5.3572998492672245e-24
3053575782942086.0,3.0548353513337854e-24
3062773300360586.5,2.1006259202612784e-24
3071970817779087.0,3.8996914387915966e-24
3081168335197587.0,1.550406923976667e-24
3090365852616087.5,1.5229622401545311e-24
3099563370034587.5,2.7096913942464182e-24
3108760887453088.0,6.750114558965512e-25
3117958404871588.0,1.2374895697404922e-24
3127155922290088.5,1.7574683155817064e-24
3136353439708588.5,2.505410145628603e-25
3145550957127089.0,1.0276617182499586e-24
3154748474545589.0,1.0488515265848621e-24
3163945991964089.5,9.42069416991564e-26
3173143509382589.5,8.201763961261864e-25
3182341026801090.0,5.6847276546043805e-25
3191538544219590.0,6.506238726552486e-26
3200736061638090.5,6.135286873880359e-25
3209933579056590.5,2.749653654877494e-25
3219131096475091.0,7.691837773723053e-26
3228328613893591.0,4.272312085143422e-25
3237526131312091.5,1.146521158863567e-25
3246723648730591.5,8.906928933119664e-26
3255921166149092.0,2.764024689086434e-25
3265118683567592.0,3.8359131164464323e-26
3274316200986092.5,8.897444628236777e-26
3283513718404592.5,1.6563945621462127e-25
3292711235823093.0,8.651772208393336e-27
3301908753241593.5,7.749934458404198e-26
3311106270660093.5,9.205184381238872e-26
3320303788078594.0,8.878086269588455e-28
3329501305497094.0,6.086536854130454e-26
3338698822915594.5,4.6970424880494414e-26
3347896340334094.5,1.2463944560384084e-27
3357093857752595.0,4.380981419408563e-26
3366291375171095.0,2.1721946904166466e-26
3375488892589595.5,3.2642352916120665e-27
3384686410008095.5,2.8971070716416376e-26
3393883927426596.0,8.930765277658188e-27
3403081444845096.0,4.520523921032174e-27
3412278962263596.5,1.7971188514180537e-26
3421476479682096.5,3.0608733591066003e-27
3430673997100597.0,4.666402680532883e-27
3439871514519097.0,1.0390892293971554e-26
3449069031937597.5,8.025987169512494e-28
3458266549356097.5,4.042852640994064e-27
3467464066774598.0,5.706129849880251e-27
3476661584193098.0,1.2885190889238148e-28
3485859101611598.5,3.1561899186549332e-27
3495056619030098.5,2.880435556150944e-27
3504254136448599.0,5.68064338464361e-29
3513451653867099.0,2.2500777037828653e-27
3522649171285599.5,1.3425961084645761e-27
3531846688704100.0,1.303415443501588e-28
3541044206122600.0,1.4699589919357154e-27
3550241723541100.5,5.9277111018262485e-28
3559439240959600.5,1.9308472778830387e-28
3568636758378101.0,9.118193067336902e-28
3577834275796601.0,2.2890371267533333e-28
3587031793215101.5,1.983039239896117e-28
3596229310633601.5,5.3274504948132385e-28
3605426828052102.0,8.137481381938616e-29
3614624345470602.0,1.7706472549974674e-28
3623821862889102.5,2.9261462709798465e-28
3633019380307602.5,2.958815257069638e-29
3642216897726103.0,1.3907857407238337e-28
3651414415144603.0,1.586235013165769e-28
3660611932563103.5,1.5095913208041932e-29
3669809449981603.5,9.330571522354636e-29
3679006967400104.0,8.167384292922186e-29
3688204484818604.0,1.1405238486560184e-29
3697402002237104.5,6.277551681611083e-29
3706599519655604.5,4.2062160782588474e-29
3715797037074105.0,9.189092549242442e-30
3724994554492605.0,3.8963993803282896e-29
3734192071911105.5,2.3648080026045722e-29
3743389589329605.5,6.865526783409492e-30
3752587106748106.0,2.288350120162907e-29
3761784624166606.0,1.440595903396058e-29
3770982141585106.5,4.544606673676001e-30
3780179659003607.0,1.4688116329172035e-29
3789377176422107.0,7.959761334788606e-30
3798574693840607.5,3.7495368389806746e-30
3807772211259107.5,9.99868401662773e-30
3816969728677608.0,4.120797988239884e-30
3826167246096108.0,2.2978519477329214e-30
3835364763514608.5,7.413635991580335e-30
3844562280933108.5,2.217614339290066e-30
3853759798351609.0,2.3548331218685893e-30
3862957315770109.0,4.5435338965594525e-30
3872154833188609.5,8.494289323707225e-31
3881352350607109.5,1.4704874055159771e-30
3890549868025610.0,3.12896239432686e-30
3899747385444110.0,3.4813063137003298e-31
3908944902862610.5,1.4892676615566645e-30
3918142420281110.5,2.559187604536007e-30
3927339937699611.0,1.0480058015113961e-31
3936537455118111.0,1.1669113969499434e-30
3945734972536611.5,1.0931833911761652e-30
3954932489955111.5,7.919596509443698e-32
3964130007373612.0,7.756118566271772e-31
3973327524792112.0,8.72854493277603e-31
3982525042210612.5,3.080083898980946e-32
3991722559629112.5,6.448335580088287e-31
4000920077047613.0,5.869999791350717e-31
4010117594466113.5,2.212423091618933e-31
4019315111884613.5,4.526767601032638e-31
4028512629303114.0,1.67150672743071e-31
4037710146721614.0,1.2103940710934287e-31
4046907664140114.5,3.2365230678708856e-31
4056105181558614.5,8.022062190685135e-32
4065302698977115.0,1.2141449662200967e-32
4074500216395615.0,4.345267873119976e-31
4083697733814115.5,2.2452371207169595e-32
4092895251232615.5,1.2539954085524196e-31
4102092768651116.0,8.315730438400578e-32
4111290286069616.0,4.9013804228042496e-33
4120487803488116.5,6.192160648325448e-32
4129685320906616.5,1.0078782610045897e-31
4138882838325117.0,1.8495278429859917e-32
4148080355743617.0,4.068465655434349e-32
4157277873162117.5,1.2006215323724754e-31
4166475390580617.5,3.227117140621417e-32
4175672907999118.0,1.126768368791717e-31
4184870425417618.0,3.323204645087176e-32
4194067942836118.5,9.756717851929024e-33
4203265460254618.5,5.732350969568412e-32
4212462977673119.0,3.4158403835717286e-32
4221660495091619.0,8.964561367596073e-32
4230858012510119.5,4.994562511202671e-32
4240055529928620.0,8.160711968285103e-32
4249253047347120.0,6.517248900439024e-32
4258450564765620.5,4.325578688700027e-32
4267648082184120.5,4.437557716789888e-33
4276845599602621.0,1.540929535574403e-33
4286043117021121.0,5.392855118732505e-32
4295240634439621.5,1.9685093218362558e-32
4304438151858121.5,1.2399825810037005e-31
4313635669276622.0,2.0361619319495482e-32
4322833186695122.0,6.303676927067433e-32
4332030704113622.5,2.3924801253970417e-32
4341228221532122.5,2.7879007482001633e-32
4350425738950623.0,5.264789448621125e-32
4359623256369123.0,4.7996750465645766e-32
4368820773787623.5,2.1507141692552307e-32
4378018291206123.5,1.393298515508103e-32
4387215808624624.0,2.885595719046935e-33
4396413326043124.0,2.673548373763278e-32
4405610843461624.5,6.831824894629912e-34
4414808360880124.5,2.743124018199473e-32
4424005878298625.0,6.989381618299106e-33
4433203395717125.0,2.845486292301234e-32
4442400913135625.5,1.3380831484116812e-32
4451598430554125.5,4.962453610915604e-33
4460795947972626.0,2.8196872230966603e-32
4469993465391126.0,6.539746084391166e-33
4479190982809626.5,7.271557808803636e-33
4488388500228127.0,7.153277281406196e-33
4497586017646627.0,1.2306747069930485e-32
4506783535065127.0,1.5156272926909657e-32
4515981052483628.0,7.422955422171279e-33
4525178569902128.0,7.654878552503531e-32
4534376087320628.0,1.9561894622842574e-32
4543573604739128.0,4.5514464998768427e-32
4552771122157629.0,5.776908894521238e-32
4561968639576129.0,1.273368211783804e-31
4571166156994629.0,5.367428443827516e-33
4580363674413129.0,7.39234315545192e-32
4589561191831630.0,4.93276038339593e-32
4598758709250130.0,3.8142814234119397e-32
4607956226668630.0,2.2722953814963542e-32
4617153744087130.0,7.73915522744938e-33
4626351261505631.0,1.3443285500944518e-32
4635548778924131.0,5.79983989024959e-33
4644746296342631.0,2.1051683485407236e-33
4653943813761131.0,1.0388750236896025e-32
4663141331179632.0,1.2309153973817467e-32
4672338848598132.0,5.741415888901564e-32
4681536366016632.0,2.5022780339843624e-32
4690733883435132.0,1.5645079524371747e-32
4699931400853633.0,3.1505081704827045e-32
4709128918272133.0,8.173720186503185e-32
4718326435690633.0,2.119007561707887e-31
4727523953109134.0,2.591241079348619e-32
4736721470527634.0,2.0651231848850087e-32
4745918987946134.0,5.581567354170706e-32
4755116505364634.0,1.4395582095685368e-31
4764314022783135.0,8.530909460198979e-32
4773511540201635.0,3.145751114591756e-33
4782709057620135.0,7.056517689438214e-33
4791906575038635.0,1.2120056164913685e-32
4801104092457136.0,3.551397452831684e-33
4810301609875636.0,1.7768538051885805e-32
4819499127294136.0,1.2249999065090317e-32
4828696644712636.0,2.0508119550089984e-32
4837894162131137.0,1.1129477084433526e-32
4847091679549637.0,7.259446007756636e-33
4856289196968137.0,9.769484537267955e-34
4865486714386637.0,2.2362263110190674e-33
4874684231805138.0,4.631203826189122e-32
